business_id,name,address,city,postal_code,state,latitude,longitude,categories,stars,review_count,is_open,hours_fmt
8rb-3VYXE37IZix4yOdskw,Sharky's Sports Bar & Grill,820 N Black Horse Pike,Williamstown,08094,NJ,39.6968014,-74.9998214,"American (Traditional), Bars, Nightlife, Sports Bars, Restaurants",2.5,29,1,
NZ_bFJma7brQUfln5h1UAg,Super Sushi Kyo Hin,2501 Mt Holly Rd 245,Burlington,08016,NJ,40.0416285,-74.8258209,"Restaurants, Japanese, Sushi Bars, Asian Fusion",3.5,6,0,
LhpPSrulqVeTyJeK2xydvQ,Fresh Fruits & Salads,114 N 3rd St,Camden,08102,NJ,39.9466899,-75.123327,"Juice Bars & Smoothies, Restaurants, Fruits & Veggies, Salad, Specialty Food, Food",4.5,6,1,Friday: 9:0-18:0 | Monday: 9:0-18:0 | Saturday: 9:0-18:0 | Thursday: 9:0-18:0 | Tuesday: 9:0-18:0 | Wednesday: 9:0-18:0
Cdytv_YhJO0W0Ab8t2xLtg,Nipper's Pub,1205 Delsea Dr,Woodbury,08096,NJ,39.8444681,-75.1248703,"Nightlife, Chicken Wings, Pubs, Bars, American (Traditional), Restaurants",3.5,29,1,
Ms5xG8i4p80KSMcF3tt4ug,Sal DeForte's Ristorante,1400 Parkway Ave,Ewing,08628,NJ,40.2668877,-74.8056572,"Italian, Restaurants",4.0,52,1,Friday: 16:30-21:0 | Monday: 16:0-20:0 | Saturday: 16:30-21:0 | Sunday: 16:30-20:0 | Thursday: 16:0-20:0 | Tuesday: 16:0-20:0 | Wednesday: 16:30-20:0
rCoWa-C7Os51GjFkCnFlVw,Rite Aid,700 Haddonfield Berlin Rd S37,Voorhees,08043,NJ,39.852159,-74.98264,"Drugstores, Convenience Stores, Food, Shopping",4.5,6,1,Friday: 8:0-22:0 | Monday: 8:0-22:0 | Saturday: 8:0-22:0 | Sunday: 8:0-20:0 | Thursday: 8:0-22:0 | Tuesday: 8:0-22:0 | Wednesday: 8:0-22:0
tuyCmcmm5Q-bc-9zV76xKA,Pho Friendly,729 Brunswick Ave,Trenton,08638,NJ,40.23547,-74.7532115132,"Thai, Vietnamese, Chinese, Restaurants",4.5,93,0,Friday: 11:0-19:0 | Monday: 11:0-19:0 | Saturday: 11:0-15:0 | Thursday: 11:0-19:0 | Tuesday: 11:0-19:0 | Wednesday: 11:0-19:0
rmHgqdVkLsGN2byesWRo0w,Brewster's Pub,2825 Route 73 S,Maple Shade,08052,NJ,39.9394973,-74.9743023,"American (Traditional), Active Life, Nightlife, Bowling, Restaurants",3.5,12,1,Friday: 11:0-3:0 | Monday: 11:0-3:0 | Saturday: 11:0-3:0 | Sunday: 11:0-3:0 | Thursday: 11:0-3:0 | Tuesday: 11:0-3:0 | Wednesday: 11:0-3:0
2_gRg3_oWK3GoiB-OpcDHA,CedarBrook Deli,24 N Rt 73,Cedarbrook,08018,NJ,39.721471,-74.9016858,"Food, Convenience Stores, Restaurants, Food Delivery Services, Local Flavor, Delis",3.5,5,0,
Wt1W6qwCvna1KzIuJRJbwA,Tokyo Mandarin,370 Delsea Dr N,Glassboro,08028,NJ,39.7119376,-75.1109667,"Japanese, Restaurants, Sushi Bars, Chinese",4.0,88,1,Friday: 11:0-23:0 | Monday: 11:0-22:0 | Saturday: 11:0-23:0 | Sunday: 11:0-22:0 | Thursday: 11:0-22:0 | Tuesday: 11:0-22:0 | Wednesday: 11:0-22:0
