postal_code,city,restaurant_count,open_count,closed_count,avg_stars,avg_reviews,total_reviews
08053,Marlton,144,95,49,3.53,67.34,9697
08002,Cherry Hill,138,96,42,3.28,90.12,12437
08054,Mount Laurel,133,96,37,3.39,64.29,8551
08043,Voorhees,113,65,48,3.41,59.41,6713
08096,Woodbury,109,83,26,3.38,47.8,5210
08108,Collingswood,102,62,40,3.65,99.27,10126
08080,Sewell,94,67,27,3.49,40.93,3847
08021,Clementon,90,68,22,3.42,30.21,2719
08016,Burlington,89,62,27,3.26,34.36,3058
08081,Sicklerville,89,63,26,3.17,37.55,3342
08012,Blackwood,88,67,21,3.41,35.05,3084
08034,Cherry Hill,86,54,32,3.44,79.57,6843
08055,Medford,74,55,19,3.53,48.92,3620
08003,Cherry Hill,74,43,31,3.61,64.24,4754
08060,Mount Holly,73,57,16,3.28,49.96,3647
08028,Glassboro,72,55,17,3.17,41.04,2955
08057,Moorestown,68,36,32,3.51,70.47,4792
08033,Haddonfield,64,37,27,3.8,65.55,4195
08109,Merchantville,62,41,21,3.79,44.6,2765
08052,Maple Shade,58,40,18,3.45,59.28,3438
08075,Delran,57,45,12,3.43,30.74,1752
08530,Lambertville,57,37,20,3.96,99.02,5644
08638,Trenton,54,40,14,3.22,23.85,1288
08611,Trenton,53,41,12,3.84,25.92,1374
08094,Williamstown,52,43,9,3.21,32.77,1704
08077,Cinnaminson,51,37,14,3.4,53.27,2717
08628,Ewing,51,34,17,3.71,66.06,3369
08085,Swedesboro,43,30,13,3.51,49.74,2139
08610,Trenton,42,36,6,3.35,21.17,889
08505,Bordentown,41,33,8,3.61,77.15,3163
08110,Pennsauken,36,28,8,3.36,21.97,791
08046,Willingboro,35,32,3,3.03,22.29,780
08009,Berlin,35,29,6,3.63,34.8,1218
08608,Trenton,32,18,14,3.77,22.94,734
08106,Audubon,31,24,7,3.76,37.97,1177
08071,Pitman,31,21,10,3.68,48.1,1491
08107,Oaklyn,30,25,5,3.75,60.27,1808
08091,West Berlin,30,22,8,3.12,35.27,1058
08618,Trenton,30,24,6,3.57,21.43,643
08070,Pennsville,29,22,7,3.38,20.62,598
08030,Gloucester City,29,22,7,3.62,22.48,652
08088,Tabernacle,25,22,3,3.88,64.12,1603
08035,Haddon Heights,25,15,10,3.86,33.28,832
08062,Mullica Hill,24,18,6,3.46,52.96,1271
08083,Somerdale,24,19,5,3.48,27.25,654
08105,Camden,24,21,3,3.92,19.08,458
08078,Runnemede,22,18,4,3.5,55.64,1224
08031,Bellmawr,21,16,5,3.71,36.43,765
08619,Hamilton,20,17,3,3.52,107.8,2156
08066,Paulsboro,19,15,4,3.5,21.26,404
08084,Stratford,17,14,3,3.56,33.65,572
08609,Trenton,17,17,0,3.29,27.18,462
08048,Lumberton,17,14,3,3.12,19.94,339
08069,Penns Grove,17,14,3,3.47,24.29,413
08007,Barrington,16,9,7,4.06,30.75,492
08098,Woodstown,16,15,1,3.62,23.94,383
08022,Columbus,15,13,2,3.87,31.07,466
08102,Camden,15,11,4,3.97,15.27,229
08065,Palmyra,15,9,6,3.67,22.87,343
08036,Hainesport,15,12,3,3.63,30.93,464
08093,Westville,15,13,2,3.63,40.93,614
08059,Mount Ephraim,14,12,2,3.0,35.36,495
08086,Thorofare,14,11,3,3.36,45.5,637
08029,Glendora,14,6,8,3.79,54.43,762
08049,Magnolia,14,8,6,3.07,26.43,370
08097,Woodbury Heights,13,11,2,3.04,24.08,313
08103,Camden,13,12,1,3.54,38.77,504
08318,Elmer,13,10,3,3.54,24.69,321
08051,Mantua,12,12,0,3.29,23.58,283
08037,Hammonton,12,7,5,3.92,28.17,338
08010,Beverly,11,10,1,3.59,21.55,237
08027,Gibbstown,10,7,3,3.25,14.4,144
08518,Florence,10,6,4,3.55,24.2,242
08629,Trenton,10,7,3,4.0,22.2,222
08079,Salem,10,9,1,3.5,14.6,146
08648,Lawrence Township,10,8,2,3.65,29.0,290
08004,Atco,9,8,1,3.06,19.22,173
08328,Malaga,9,7,2,3.89,22.22,200
08322,Franklinville,9,7,2,3.72,46.89,422
08312,Clayton,8,7,1,3.31,23.0,184
08045,Lawnside,8,8,0,3.12,34.88,279
08104,Camden,7,6,1,3.0,6.71,47
08090,Wenonah,7,6,1,3.36,31.71,222
08026,Gibbsboro,6,6,0,3.33,60.17,361
08068,Pemberton,6,4,2,3.17,13.5,81
08344,Newfield,5,3,2,4.1,38.2,191
08089,Chesilhurst,4,3,1,4.0,26.25,105
08063,National Park,4,4,0,3.88,16.25,65
08020,Clarksboro,3,3,0,3.83,128.67,386
08018,Cedar Brook,3,2,1,3.33,13.33,40
08554,Roebling,3,2,1,4.17,8.67,26
08001,Alloway,2,2,0,3.75,9.0,18
08560,Titusville,2,2,0,3.5,142.0,284
08691,Trenton,2,0,2,3.75,26.5,53
08343,Elk Township,2,2,0,4.0,7.0,14
08620,Trenton,1,1,0,2.0,9.0,9
08690,Trenton,1,0,1,2.5,9.0,9
07836,Flanders,1,0,1,3.0,17.0,17
08601,Trenton,1,1,0,4.0,67.0,67
08534,Pennington,1,0,1,4.0,5.0,5
08501,Freehold,1,1,0,4.5,9.0,9
08302,Bridgeton,1,1,0,4.5,19.0,19
08100,Camden,1,1,0,3.5,26.0,26
08072,Quinton,1,0,1,3.0,7.0,7
08067,Oldmans Township,1,1,0,3.0,5.0,5
08061,Mount Royal,1,1,0,4.5,34.0,34
08041,Jobstown,1,1,0,4.0,37.0,37
08005,Medford,1,1,0,3.5,7.0,7
08825,Brooklawn,1,1,0,3.0,60.0,60
